round,policy,microseconds,status
119,deny,43.25,denied
119,undoscope,66.333,compensated
119,value,72.125,compensated
119,field,215.416,compensated
120,value,204.875,compensated
120,object,80.209,compensated
120,mapped,73.459,compensated
120,undoscope,67.667,compensated
120,field,74.625,compensated
120,snapshot,76.333,compensated
120,deny,51.75,denied
121,value,68.334,compensated
121,object,63.375,compensated
121,undoscope,64.208,compensated
121,mapped,69.167,compensated
121,snapshot,73.959,compensated
121,field,66.375,compensated
121,deny,48.125,denied
122,mapped,66.75,compensated
122,object,66.542,compensated
122,snapshot,73.875,compensated
122,undoscope,63.167,compensated
122,value,70.5,compensated
122,deny,41.667,denied
122,field,64.709,compensated
123,undoscope,67.125,compensated
123,mapped,63.083,compensated
123,value,59.75,compensated
123,field,66.292,compensated
123,object,66.708,compensated
123,snapshot,74.458,compensated
123,deny,43.333,denied
124,value,79.834,compensated
124,snapshot,71.875,compensated
124,object,65.583,compensated
124,deny,48.25,denied
124,mapped,60.291,compensated
124,field,65.25,compensated
124,undoscope,61.25,compensated
125,field,65.333,compensated
125,undoscope,79.625,compensated
125,value,75.209,compensated
125,mapped,69.792,compensated
125,snapshot,145.833,compensated
125,object,95.042,compensated
125,deny,69.334,denied
126,field,72.709,compensated
126,object,70.417,compensated
126,deny,46.791,denied
126,snapshot,84.0,compensated
126,value,74.375,compensated
126,undoscope,77.75,compensated
126,mapped,66.0,compensated
127,mapped,67.5,compensated
127,object,81.042,compensated
127,undoscope,66.459,compensated
127,value,70.083,compensated
127,snapshot,78.0,compensated
127,deny,47.75,denied
127,field,85.708,compensated
128,deny,51.708,denied
128,field,68.416,compensated
128,mapped,75.666,compensated
128,object,67.417,compensated
128,value,67.875,compensated
128,snapshot,82.125,compensated
128,undoscope,62.333,compensated
129,object,79.167,compensated
129,deny,53.5,denied
129,mapped,64.792,compensated
129,undoscope,65.542,compensated
129,field,71.583,compensated
129,value,63.083,compensated
129,snapshot,83.417,compensated
130,deny,75.0,denied
130,undoscope,63.875,compensated
130,snapshot,100.542,compensated
130,mapped,85.791,compensated
130,field,70.125,compensated
130,value,70.542,compensated
130,object,63.166,compensated
131,snapshot,80.167,compensated
131,value,125.125,compensated
131,mapped,86.833,compensated
131,undoscope,123.25,compensated
131,field,86.792,compensated
131,object,70.75,compensated
131,deny,48.625,denied
132,field,77.458,compensated
132,deny,48.083,denied
132,undoscope,69.333,compensated
132,value,69.541,compensated
132,object,65.916,compensated
132,mapped,63.875,compensated
132,snapshot,71.0,compensated
133,field,65.458,compensated
133,mapped,66.625,compensated
133,value,65.167,compensated
133,undoscope,69.625,compensated
133,object,70.917,compensated
133,deny,48.917,denied
133,snapshot,81.125,compensated
134,deny,65.542,denied
134,snapshot,77.833,compensated
134,mapped,70.417,compensated
134,value,68.041,compensated
134,undoscope,67.333,compensated
134,field,64.791,compensated
134,object,64.375,compensated
135,value,65.375,compensated
135,object,60.542,compensated
135,mapped,74.959,compensated
135,snapshot,78.125,compensated
135,field,65.25,compensated
135,undoscope,61.167,compensated
135,deny,49.542,denied
136,deny,50.333,denied
136,snapshot,69.958,compensated
136,mapped,79.125,compensated
136,field,71.875,compensated
136,object,68.875,compensated
136,undoscope,64.125,compensated
136,value,65.583,compensated
137,snapshot,86.958,compensated
137,undoscope,85.875,compensated
137,field,121.625,compensated
137,deny,47.875,denied
137,object,84.75,compensated
137,mapped,69.084,compensated
137,value,70.25,compensated
138,mapped,63.0,compensated
138,snapshot,76.833,compensated
138,object,71.792,compensated
138,deny,53.25,denied
138,value,66.708,compensated
138,field,69.5,compensated
138,undoscope,61.834,compensated
139,undoscope,67.042,compensated
139,object,65.667,compensated
139,snapshot,75.5,compensated
139,mapped,65.792,compensated
139,deny,46.416,denied
139,field,99.416,compensated
139,value,74.083,compensated
140,undoscope,70.041,compensated
140,mapped,68.666,compensated
140,field,64.25,compensated
140,value,61.333,compensated
140,object,63.875,compensated
140,deny,44.5,denied
140,snapshot,63.25,compensated
141,snapshot,61.75,compensated
141,field,61.792,compensated
141,undoscope,64.584,compensated
141,mapped,63.084,compensated
141,deny,41.25,denied
141,value,63.875,compensated
141,object,65.417,compensated
142,mapped,81.334,compensated
142,object,287.542,compensated
142,undoscope,116.5,compensated
142,field,69.458,compensated
142,value,76.125,compensated
142,snapshot,80.875,compensated
142,deny,49.583,denied
143,field,70.292,compensated
143,undoscope,68.334,compensated
143,snapshot,74.5,compensated
143,mapped,63.417,compensated
143,object,75.917,compensated
143,deny,49.333,denied
143,value,69.334,compensated
144,mapped,67.875,compensated
144,object,64.5,compensated
144,field,62.833,compensated
144,undoscope,66.25,compensated
144,value,67.0,compensated
144,snapshot,72.083,compensated
144,deny,43.459,denied
145,value,67.417,compensated
145,mapped,64.458,compensated
145,field,63.375,compensated
145,undoscope,61.458,compensated
145,object,85.5,compensated
145,deny,49.791,denied
145,snapshot,76.5,compensated
146,value,69.042,compensated
146,field,67.625,compensated
146,mapped,67.209,compensated
146,snapshot,70.25,compensated
146,deny,59.917,denied
146,undoscope,78.291,compensated
146,object,78.5,compensated
147,field,67.291,compensated
147,deny,48.041,denied
147,object,78.167,compensated
147,mapped,67.667,compensated
